2020-02-18 18:15:51.586389,F,C
2020-02-18 18:15:53.250946,62.43,16.90
2020-02-18 18:15:56.253386,62.96,17.20
2020-02-18 18:15:59.256734,63.49,17.50
2020-02-18 18:16:02.262387,62.96,17.20
2020-02-18 18:16:05.265982,64.03,17.79
2020-02-18 18:16:08.271814,62.78,17.10
2020-02-18 18:16:11.275235,62.61,17.00
2020-02-18 18:16:14.280897,63.85,17.69
2020-02-18 18:16:17.283159,62.61,17.00
2020-02-18 18:16:20.296065,62.61,17.00
2020-02-18 18:16:23.292411,62.25,16.81
2020-02-18 18:16:26.299361,62.43,16.90
2020-02-18 18:16:29.301916,61.90,16.61
2020-02-18 18:16:32.305265,63.32,17.40
2020-02-18 18:16:35.311148,63.14,17.30
2020-02-18 18:16:38.314588,62.78,17.10
2020-02-18 18:16:41.320194,63.49,17.50
2020-02-18 18:16:44.323841,62.78,17.10
2020-02-18 18:16:47.329650,62.61,17.00
2020-02-18 18:16:50.331514,64.56,18.09
2020-02-18 18:16:53.338656,62.07,16.71
2020-02-18 18:16:56.341011,62.78,17.10
2020-02-18 18:16:59.348060,63.67,17.59
2020-02-18 18:17:02.350279,62.61,17.00
2020-02-18 18:17:05.353868,62.61,17.00
2020-02-18 18:17:08.359470,63.85,17.69
2020-02-18 18:17:11.363116,63.67,17.59
2020-02-18 18:17:14.368916,64.03,17.79
2020-02-18 18:17:17.372095,62.43,16.90
2020-02-18 18:17:20.377983,63.32,17.40
2020-02-18 18:17:23.380286,62.78,17.10
2020-02-18 18:17:26.387330,65.09,18.38
2020-02-18 18:17:29.389542,62.96,17.20
2020-02-18 18:17:32.396843,62.96,17.20
2020-02-18 18:17:35.399062,63.49,17.50
2020-02-18 18:17:38.401389,61.90,16.61
2020-02-18 18:17:41.408460,63.49,17.50
2020-02-18 18:17:44.410361,61.36,16.31
2020-02-18 18:17:47.417807,61.36,16.31
2020-02-18 18:17:50.419910,63.67,17.59
2020-02-18 18:17:53.426716,64.03,17.79
2020-02-18 18:17:56.429070,65.27,18.48
2020-02-18 18:17:59.435972,64.38,17.99
2020-02-18 18:18:02.438574,61.90,16.61
2020-02-18 18:18:05.445617,62.25,16.81
2020-02-18 18:18:08.447835,62.61,17.00
2020-02-18 18:18:11.449884,65.09,18.38
2020-02-18 18:18:14.457227,62.43,16.90
2020-02-18 18:18:17.459427,61.90,16.61
2020-02-18 18:18:20.466283,61.54,16.41
2020-02-18 18:18:23.468684,63.85,17.69
2020-02-18 18:18:26.475738,64.03,17.79
2020-02-18 18:18:29.477907,63.14,17.30
2020-02-18 18:18:32.484921,62.07,16.71
2020-02-18 18:18:35.487079,63.49,17.50
2020-02-18 18:18:38.493025,61.18,16.21
2020-02-18 18:18:41.496796,64.03,17.79
2020-02-18 18:18:44.498639,62.96,17.20
2020-02-18 18:18:47.505792,62.43,16.90
2020-02-18 18:18:50.508155,62.43,16.90
2020-02-18 18:18:53.515212,62.43,16.90
2020-02-18 18:18:56.517410,64.03,17.79
2020-02-18 18:18:59.523006,64.38,17.99
2020-02-18 18:19:02.526350,61.36,16.31
2020-02-18 18:19:05.532371,62.78,17.10
2020-02-18 18:19:08.536069,63.14,17.30
2020-02-18 18:19:11.541767,61.90,16.61
2020-02-18 18:19:14.544124,62.96,17.20
2020-02-18 18:19:17.547744,64.20,17.89
2020-02-18 18:19:20.553487,62.25,16.81
2020-02-18 18:19:23.556675,63.32,17.40
2020-02-18 18:19:26.562577,62.43,16.90
2020-02-18 18:19:29.566188,62.07,16.71
2020-02-18 18:19:32.571899,62.61,17.00
2020-02-18 18:19:35.575343,64.03,17.79
2020-02-18 18:19:38.581046,59.94,15.52
2020-02-18 18:19:41.583386,61.90,16.61
2020-02-18 18:19:44.590664,62.07,16.71
2020-02-18 18:19:47.593109,63.14,17.30
2020-02-18 18:19:50.596457,62.96,17.20
2020-02-18 18:19:53.602267,63.49,17.50
2020-02-18 18:19:56.605716,63.49,17.50
2020-02-18 18:19:59.611561,62.43,16.90
2020-02-18 18:20:02.614969,64.38,17.99
2020-02-18 18:20:05.620570,63.32,17.40
2020-02-18 18:20:08.624131,61.36,16.31
2020-02-18 18:20:11.629936,62.07,16.71
2020-02-18 18:20:14.632170,62.25,16.81
2020-02-18 18:20:17.639326,63.32,17.40
2020-02-18 18:20:20.641793,63.14,17.30
2020-02-18 18:20:23.643990,64.03,17.79
2020-02-18 18:20:26.650884,60.65,15.92
2020-02-18 18:20:29.653242,62.96,17.20
2020-02-18 18:20:32.660141,61.54,16.41
2020-02-18 18:20:35.662497,60.30,15.72
2020-02-18 18:20:38.669462,62.78,17.10
2020-02-18 18:20:41.671660,61.72,16.51
2020-02-18 18:20:44.678607,59.94,15.52
2020-02-18 18:20:47.681166,61.36,16.31
2020-02-18 18:20:50.688226,61.54,16.41
2020-02-18 18:20:53.690411,61.54,16.41
2020-02-18 18:20:56.692768,62.78,17.10
2020-02-18 18:20:59.699831,59.05,15.03
2020-02-18 18:21:02.702022,59.41,15.23
2020-02-18 18:21:05.709090,61.36,16.31
2020-02-18 18:21:08.711287,59.94,15.52
2020-02-18 18:21:11.718127,60.65,15.92
2020-02-18 18:21:14.720440,61.01,16.12
2020-02-18 18:21:17.727586,59.94,15.52
2020-02-18 18:21:20.729945,60.83,16.02
2020-02-18 18:21:23.735636,62.07,16.71
2020-02-18 18:21:26.739190,60.47,15.82
2020-02-18 18:21:29.741553,61.90,16.61
